question,retrieved_ids
What is the name of the corporation that submitted this annual report?,"['172268e8d313aa598497042bd654de50', 'd92e327b0314b05807b26ac780696185', '8a4eb7396a0ff4268c083c7f2b4e3e06', '8f2a842c9a31c9538f7c95e540f82b17', '62dfb624c76fa0aa4dbead40aa971a17', '07af953767dff2c699b3e7c150f1fe03', '2216a4466ae0bd963079dd0ce1f94259', 'dad3ee92ebb262e17bcb6c5b165a5a05', '18617cd73ed8c5c19d2953115d4d680e', 'e2c386ba8636407688039b44e00923fb']"
What type of securities are registered with the Securities and Exchange Commission for Exxon Mobil Corporation?,"['10982f6a0008dfa086cd91f90df940e7', '4b3c94c2d9c81e002a04b8d8356101c6', '6fc13d7013e58cdbd2be169fadf54ef3', '4f26657a21944e4d6857b30607121db6', 'af375df25a73feaf1f5e07d2fe9e86af', '15a8bacbc7bf52c5a741d14402072372', '4d63a7225135075c3d8f125b1490b19e', '8a4eb7396a0ff4268c083c7f2b4e3e06', 'ac77a8f6fcb6dafb2aa48c6425d4e336', 'f964093e1725783471849a32aae41a43']"
What is the name of the stock exchange mentioned in this document?,"['dad3ee92ebb262e17bcb6c5b165a5a05', '1ebec30398960bef1fea1fa63ffd9b9f', 'f9adc4b9c1da74f14e91b510533ef9d6', '0ab14597aba4fac923741b4e44be8bbe', '10982f6a0008dfa086cd91f90df940e7', '3dab8764c4b41e808a2f07ec8e73cbb3', '4224d9a1d0bc38a1716153c96f64ca92', '6fc13d7013e58cdbd2be169fadf54ef3', '4d1204b154e75f2aba1e442e3b9e3ee6', '172268e8d313aa598497042bd654de50']"
"Is the registrant a well-known seasoned issuer, as defined in Rule 405 of the Securities Act?","['f9adc4b9c1da74f14e91b510533ef9d6', '8946b47f77f4dd33906684fda75ee19c', 'dad3ee92ebb262e17bcb6c5b165a5a05', '4224d9a1d0bc38a1716153c96f64ca92', 'ee65fae7d564249ac358563dc7d43457', '4d1204b154e75f2aba1e442e3b9e3ee6', '1ed7b4d613bcde7de7bcdfdc2a80b840', 'ac77a8f6fcb6dafb2aa48c6425d4e336', '18617cd73ed8c5c19d2953115d4d680e', '131778e917ccc8e5b20b648a7ff70337']"
What is the category of the first item listed?,"['a8d82542df18d94d26cd5b44be17fa79', '55386eaf9f959dcad72a4003dcf2c8c9', '8946b47f77f4dd33906684fda75ee19c', 'ed8d9945d5d0f2131260be008e325441', '81066a7d25ecf0d0f8570c73af210e30', 'dad3ee92ebb262e17bcb6c5b165a5a05', 'd7d215ff056769ddbe6fd0ba2057c600', '994ec4f4937f391ed438607da1090319', '3fe24642c92dfe373a5e839397f5923f', '090555e9e115496eb91383fdfecb0b67']"
Is the second item a type of filer?,"['a2b53ba0b63c04f8b0c121749813c8e8', '8946b47f77f4dd33906684fda75ee19c', '5399d22de8c81de1534b9bb3a067a3f1', 'f9adc4b9c1da74f14e91b510533ef9d6', 'd17c4c0427cf0a0a7b4d2b53550b0d38', '55386eaf9f959dcad72a4003dcf2c8c9', '041708b80bf6abc370b5ac3704f009d0', '173f12bc6b97bb1f6d3f5c6df13c213e', '090555e9e115496eb91383fdfecb0b67', '0d0b32fff7148074493561919a3081a5']"
Is this a report from an emerging growth company?,"['5399d22de8c81de1534b9bb3a067a3f1', '0d0b32fff7148074493561919a3081a5', '4224d9a1d0bc38a1716153c96f64ca92', '8946b47f77f4dd33906684fda75ee19c', '18640c82cd5a1b22e0e38763b541c86a', 'ce4497cb554e6ce4a2b1ed0cc83a94f9', '8f2a842c9a31c9538f7c95e540f82b17', '579fac7ece8dcf14d697b7bf3c403ef6', '61b60cd76c84435f14c8f13d70717cd6', 'f9adc4b9c1da74f14e91b510533ef9d6']"
Does this report include a management's assessment of internal control over financial reporting?,"['4ce33e2378f93f96b93dfab1ac1c0397', '824031fed01cd1f260610ff5e5527049', 'ade095ddaa354308554399fb35c93d54', '3cfd7baa94b3fe5ae4bb6ab4bcf67392', '9586dad2fa42ec9098817f00d5d152f1', '4d8a9b7385244ef37543201be174542b', '620c1a5f2b9441998b7c60c49ff29bcf', '829087c2f8b682ca12f51fe1c4c3d8b8', 'f993c0c78415cd2c99d7b17f9e1e1627', '8d3a6eff3f37452ad2e9cb83053ca159']"
"What is the outstanding common stock value for Exxon Mobil Corporation as of January 31, 2024?","['6fc13d7013e58cdbd2be169fadf54ef3', 'af375df25a73feaf1f5e07d2fe9e86af', 'f964093e1725783471849a32aae41a43', '10982f6a0008dfa086cd91f90df940e7', '4b3c94c2d9c81e002a04b8d8356101c6', '407e74fd4691b61788dd25273c967212', '4f26657a21944e4d6857b30607121db6', 'b859dafab5f93803cc00547adb924202', '15a8bacbc7bf52c5a741d14402072372', '71e824b92f95b4c82439029c94261611']"
"What are some of the key sections covered in the Form 10-K for Exxon Mobil Corporation's fiscal year ended December 31, 2023?","['6fc13d7013e58cdbd2be169fadf54ef3', '8a4eb7396a0ff4268c083c7f2b4e3e06', '10982f6a0008dfa086cd91f90df940e7', 'ad35c047c16eb60329eaa39418be73d4', '4b3c94c2d9c81e002a04b8d8356101c6', '4f26657a21944e4d6857b30607121db6', '15a8bacbc7bf52c5a741d14402072372', '4d63a7225135075c3d8f125b1490b19e', 'ac77a8f6fcb6dafb2aa48c6425d4e336', '3bb0863c4a884cff9af1173dbd2d9448']"
What is the principal business activity of Exxon Mobil Corporation?,"['579fac7ece8dcf14d697b7bf3c403ef6', '5fc8c2a4547e887d22372ddd6645c696', '090d272fd9af4cd52d40405994af29c7', 'be6198fe478023a55cef6015b4daf390', '4ae088ad24bd4ad15315c1d9aba324a0', '672b1613e0b8cdb0ca60d3856bf1cc57', '15d4785c909e8125a95090847f374c3b', '2c151bb934c7264650595d1ece8e4343', '6fc13d7013e58cdbd2be169fadf54ef3', 'f964093e1725783471849a32aae41a43']"
When was Exxon Mobil Corporation incorporated?,"['090d272fd9af4cd52d40405994af29c7', '4f26657a21944e4d6857b30607121db6', '6fc13d7013e58cdbd2be169fadf54ef3', '4b3c94c2d9c81e002a04b8d8356101c6', '10982f6a0008dfa086cd91f90df940e7', 'f964093e1725783471849a32aae41a43', '67aa616d912356fd6750f9bbde108439', '4d63a7225135075c3d8f125b1490b19e', '8a4eb7396a0ff4268c083c7f2b4e3e06', '3bb0863c4a884cff9af1173dbd2d9448']"
What recent agreement has ExxonMobil entered into?,"['599c676afb8b059a254269830fc3ba17', '2c151bb934c7264650595d1ece8e4343', '4f26657a21944e4d6857b30607121db6', '9f740b981f814b0f51cae3e8c1d1557e', '4b3c94c2d9c81e002a04b8d8356101c6', 'ad35c047c16eb60329eaa39418be73d4', '87b7499bb136141db53c3d87a43d8809', 'bc4acfce6591c44d2959db6fba6432e9', '4ae088ad24bd4ad15315c1d9aba324a0', 'f34a22efdb467b02c6c0036587547170']"
How does the energy and petrochemical industry compare to other industries?,"['cbff77c653b93446077ec9481246a2ad', '2c20bebede173e2c0752ef0a62aa0aef', 'dabd0aaf4b47e183ea5872185a5f8035', 'ac0c005576f6cee5b7c5e8813f200cf6', '2c151bb934c7264650595d1ece8e4343', 'b11631365da082fca338490b58334ee0', '7a0cc2fcb3a3fadf44de876bb1684404', '883568fa1c2bf3cbb5a0a4964e49516d', '4035f559e55e3f9ed08ee4ec0ff9bdd0', '60b69c3f50cff2521c7da1c069ff8872']"
What types of information can be found in the Financial Section of ExxonMobil's report?,"['be6198fe478023a55cef6015b4daf390', '579fac7ece8dcf14d697b7bf3c403ef6', '5f4ffe4a2c93b0f4890e026521f23303', '6fc13d7013e58cdbd2be169fadf54ef3', '9f312a916062c064051234e75ce8a6f7', '5fc8c2a4547e887d22372ddd6645c696', '9ccec77900661dc5ec5f553756f68d9f', '4ae088ad24bd4ad15315c1d9aba324a0', 'c1ef046ddc342fa7b8b455a076edee2f', '3bb0863c4a884cff9af1173dbd2d9448']"
