question,retrieved_ids
What is the filing status of Exxon Mobil Corporation's annual report?,"['6fc13d7013e58cdbd2be169fadf54ef3', '8a4eb7396a0ff4268c083c7f2b4e3e06', '3bb0863c4a884cff9af1173dbd2d9448', '10982f6a0008dfa086cd91f90df940e7', '4d63a7225135075c3d8f125b1490b19e', '07af953767dff2c699b3e7c150f1fe03', '4f26657a21944e4d6857b30607121db6', '4b3c94c2d9c81e002a04b8d8356101c6', '15a8bacbc7bf52c5a741d14402072372', '090d272fd9af4cd52d40405994af29c7']"
What are the names and trading symbols of Exxon Mobil Corporation's securities registered under Section 12(b) of the Act?,"['6fc13d7013e58cdbd2be169fadf54ef3', '10982f6a0008dfa086cd91f90df940e7', '4b3c94c2d9c81e002a04b8d8356101c6', '4d63a7225135075c3d8f125b1490b19e', 'af375df25a73feaf1f5e07d2fe9e86af', '15a8bacbc7bf52c5a741d14402072372', '090d272fd9af4cd52d40405994af29c7', '4f26657a21944e4d6857b30607121db6', 'ac77a8f6fcb6dafb2aa48c6425d4e336', '8a4eb7396a0ff4268c083c7f2b4e3e06']"
What is the name of the stock exchange mentioned in this document?,"['538799534aa3da6de9a09f79288ad81a', '1ebec30398960bef1fea1fa63ffd9b9f', 'f9adc4b9c1da74f14e91b510533ef9d6', '0ab14597aba4fac923741b4e44be8bbe', '10982f6a0008dfa086cd91f90df940e7', '3dab8764c4b41e808a2f07ec8e73cbb3', '4224d9a1d0bc38a1716153c96f64ca92', '6fc13d7013e58cdbd2be169fadf54ef3', '4d1204b154e75f2aba1e442e3b9e3ee6', '172268e8d313aa598497042bd654de50']"
"Is the registrant a well-known seasoned issuer, as defined in Rule 405 of the Securities Act?","['f9adc4b9c1da74f14e91b510533ef9d6', '8946b47f77f4dd33906684fda75ee19c', '538799534aa3da6de9a09f79288ad81a', '4224d9a1d0bc38a1716153c96f64ca92', 'ee65fae7d564249ac358563dc7d43457', '4d1204b154e75f2aba1e442e3b9e3ee6', '1ed7b4d613bcde7de7bcdfdc2a80b840', 'ac77a8f6fcb6dafb2aa48c6425d4e336', '18617cd73ed8c5c19d2953115d4d680e', '131778e917ccc8e5b20b648a7ff70337']"
What types of companies are required to file reports with an acceleration?,"['5399d22de8c81de1534b9bb3a067a3f1', '0d0b32fff7148074493561919a3081a5', '8946b47f77f4dd33906684fda75ee19c', 'f9adc4b9c1da74f14e91b510533ef9d6', '18640c82cd5a1b22e0e38763b541c86a', '4224d9a1d0bc38a1716153c96f64ca92', 'eb85c97947679561d044fb10a60460c4', '4f1585463fddd8101d03cf2bba11d299', '5fc8c2a4547e887d22372ddd6645c696', '994ec4f4937f391ed438607da1090319']"
Which type of company is not considered a non-accelerated filer?,"['5399d22de8c81de1534b9bb3a067a3f1', '8946b47f77f4dd33906684fda75ee19c', '0d0b32fff7148074493561919a3081a5', 'f9adc4b9c1da74f14e91b510533ef9d6', 'a2386f15149c322493386989a55a32f9', '18640c82cd5a1b22e0e38763b541c86a', 'eb85c97947679561d044fb10a60460c4', '2ef3114fcc5dfb4904edb7d492a080de', '82528d4a33ea176cd9b10a74213ee8ea', '4224d9a1d0bc38a1716153c96f64ca92']"
What is the status of this company regarding the use of an extended transition period for complying with new or revised financial accounting standards?,"['4224d9a1d0bc38a1716153c96f64ca92', '0d0b32fff7148074493561919a3081a5', '8946b47f77f4dd33906684fda75ee19c', '2ef3114fcc5dfb4904edb7d492a080de', '824031fed01cd1f260610ff5e5527049', '4ad0e2bd3d02fbf84464285f148a419d', '45882364d7aab843ce0689b6866a185f', '0114f3e903657772b9cbacaadba1bc09', '18640c82cd5a1b22e0e38763b541c86a', '3948696b442f9d810d388c47b8d3d7f6']"
Does this company have a report on and attestation to its management's assessment of the effectiveness of its internal control over financial reporting under Section 404(b) of the Sarbanes-Oxley Act?,"['4224d9a1d0bc38a1716153c96f64ca92', '2216a4466ae0bd963079dd0ce1f94259', '0d0b32fff7148074493561919a3081a5', '620c1a5f2b9441998b7c60c49ff29bcf', '829087c2f8b682ca12f51fe1c4c3d8b8', '8a4eb7396a0ff4268c083c7f2b4e3e06', 'ee65fae7d564249ac358563dc7d43457', '8f2a842c9a31c9538f7c95e540f82b17', '1ed7b4d613bcde7de7bcdfdc2a80b840', 'ac77a8f6fcb6dafb2aa48c6425d4e336']"
What was the closing stock price on the day the registrant's second fiscal quarter ended?,"['3dab8764c4b41e808a2f07ec8e73cbb3', '0b99b2a5f98fcad052788271c70f487c', '538799534aa3da6de9a09f79288ad81a', '4224d9a1d0bc38a1716153c96f64ca92', '8946b47f77f4dd33906684fda75ee19c', '172268e8d313aa598497042bd654de50', '8619954b4f4bdc6f15242a9e663c5ea6', 'd8275a43101cacee179896e293d2c3c1', 'd92e327b0314b05807b26ac780696185', '35f615d1fb6c4e4903d05e42f5a19c09']"
What was the approximate value of the registrant's most recently completed second fiscal quarter?,"['0b99b2a5f98fcad052788271c70f487c', '4224d9a1d0bc38a1716153c96f64ca92', '8946b47f77f4dd33906684fda75ee19c', '3dab8764c4b41e808a2f07ec8e73cbb3', '538799534aa3da6de9a09f79288ad81a', '69ffbdaa14c3e8d709844af31648f288', 'd53998100cadf5dbfe75b83f337fa561', '6fd77332e4f145b4f33441e62f0bdda4', 'c482dc335b59bbbb8af60da017a1d48a', '0699fab3a5b22ca693d93e10658c78f5']"
"What is the outstanding number of shares for Exxon Mobil Corporation as of January 31, 2024?","['6fc13d7013e58cdbd2be169fadf54ef3', 'f964093e1725783471849a32aae41a43', '407e74fd4691b61788dd25273c967212', '10982f6a0008dfa086cd91f90df940e7', 'af375df25a73feaf1f5e07d2fe9e86af', 'a3ed6011c85f1ef157fe1b796765032d', '4b3c94c2d9c81e002a04b8d8356101c6', 'b0bba458debb395f6c6b8dc50b00fce3', '4f26657a21944e4d6857b30607121db6', '6852b4b92ba3c61031a8eaa5f9c10e63']"
"What documents are incorporated by reference in the Form 10-K for the fiscal year ended December 31, 2023?","['d92e327b0314b05807b26ac780696185', 'ad35c047c16eb60329eaa39418be73d4', '4f26657a21944e4d6857b30607121db6', '8a4eb7396a0ff4268c083c7f2b4e3e06', 'b9816f0d74bbf512c495148955dd5466', '6fc13d7013e58cdbd2be169fadf54ef3', '42f6b388987016f1a687866d0aed0a6b', '6852b4b92ba3c61031a8eaa5f9c10e63', '10982f6a0008dfa086cd91f90df940e7', '172268e8d313aa598497042bd654de50']"
What is the primary business activity of Exxon Mobil Corporation?,"['5fc8c2a4547e887d22372ddd6645c696', '579fac7ece8dcf14d697b7bf3c403ef6', '090d272fd9af4cd52d40405994af29c7', 'be6198fe478023a55cef6015b4daf390', '2c151bb934c7264650595d1ece8e4343', '4ae088ad24bd4ad15315c1d9aba324a0', '672b1613e0b8cdb0ca60d3856bf1cc57', '6fc13d7013e58cdbd2be169fadf54ef3', '15d4785c909e8125a95090847f374c3b', '407e74fd4691b61788dd25273c967212']"
When was Exxon Mobil Corporation incorporated?,"['090d272fd9af4cd52d40405994af29c7', '4f26657a21944e4d6857b30607121db6', '6fc13d7013e58cdbd2be169fadf54ef3', '4b3c94c2d9c81e002a04b8d8356101c6', '10982f6a0008dfa086cd91f90df940e7', 'f964093e1725783471849a32aae41a43', '67aa616d912356fd6750f9bbde108439', '4d63a7225135075c3d8f125b1490b19e', '8a4eb7396a0ff4268c083c7f2b4e3e06', '3bb0863c4a884cff9af1173dbd2d9448']"
Who did ExxonMobil enter into a merger agreement with in October 2023?,"['2c151bb934c7264650595d1ece8e4343', '599c676afb8b059a254269830fc3ba17', '659f492386c6974fc448b5c1764beac9', '4f26657a21944e4d6857b30607121db6', '2faaea51979618bfd3329fd07b759bb2', '4a9da4dce6da791c01f6ac76180d1b8f', '87b7499bb136141db53c3d87a43d8809', '4b3c94c2d9c81e002a04b8d8356101c6', 'b1839645fe853f78592ae9c734a47d8f', 'ba8ba260ea100ba9aa353edafa509bc2']"
"What is the expected timeframe for the closure of ExxonMobil's merger deal, subject to regulatory approvals?","['2c151bb934c7264650595d1ece8e4343', '599c676afb8b059a254269830fc3ba17', 'ce84387f81ef6f4776f7ad4fbc076169', '3bb0863c4a884cff9af1173dbd2d9448', '4f26657a21944e4d6857b30607121db6', '659f492386c6974fc448b5c1764beac9', '4b3c94c2d9c81e002a04b8d8356101c6', '07af953767dff2c699b3e7c150f1fe03', 'f34a22efdb467b02c6c0036587547170', '8a4eb7396a0ff4268c083c7f2b4e3e06']"
What type of information can be found in the Financial Section of this report?,"['a8d82542df18d94d26cd5b44be17fa79', '81066a7d25ecf0d0f8570c73af210e30', '4f1585463fddd8101d03cf2bba11d299', 'eb85c97947679561d044fb10a60460c4', '3fe24642c92dfe373a5e839397f5923f', 'd17c4c0427cf0a0a7b4d2b53550b0d38', '15540f96a759777c07546afa135589f9', '090555e9e115496eb91383fdfecb0b67', '5f4ffe4a2c93b0f4890e026521f23303', '579fac7ece8dcf14d697b7bf3c403ef6']"
How many active patents did ExxonMobil hold worldwide at the end of 2023?,"['be6198fe478023a55cef6015b4daf390', 'b1839645fe853f78592ae9c734a47d8f', 'ba8ba260ea100ba9aa353edafa509bc2', '599c676afb8b059a254269830fc3ba17', '6a0636ea1696c344edb8995b1e80e2b4', '6fc13d7013e58cdbd2be169fadf54ef3', '87b7499bb136141db53c3d87a43d8809', 'f964093e1725783471849a32aae41a43', 'fc9599c41e8427529292169bf74bc3ea', 'ab378da07a19a9f4d8611de63ad29343']"
What is the company's approach to developing its employees' skills?,"['6ecee36a70137bd56e9cbb1b286ec671', 'a32169b5d468b7f3c6c8d81771d4570a', 'b5d6dc0d8ae462d69ee4eee8cc2bac4d', 'ebdaafa0762880c04f0962a36af41cc6', '9191e9d92ba4a4adbdd0f63d55336f5e', '25ebda263072a48ac147d35bed4cacd4', '609ddfb72e7ea3c4c246cfc9bce4194e', 'd882aeab0da9222ced2b190b9e345fe8', 'b6f231eff6d36e5dcdcad9894ca3009d', '654fa460f58423fd5e57fcc126e9f2f5']"
How does the company support diversity in its workforce?,"['6ecee36a70137bd56e9cbb1b286ec671', 'eb59dbee6d5f42cc2e1e9b0009f1b83e', 'b5d6dc0d8ae462d69ee4eee8cc2bac4d', '9191e9d92ba4a4adbdd0f63d55336f5e', '25ebda263072a48ac147d35bed4cacd4', '32e45deda3dc035194831069cd450937', '8decf205d277a138def176f0e79d59d7', 'ebdaafa0762880c04f0962a36af41cc6', 'd882aeab0da9222ced2b190b9e345fe8', '0159cb0daa3f072597501fc5bede2485']"
What is the number of regular employees for ExxonMobil at year ended 2023?,"['9a1d6e98bb78a4f656e5f44162b48e98', 'c8fedaa94a66799b0efcfccf73213c8f', 'f964093e1725783471849a32aae41a43', '6fc13d7013e58cdbd2be169fadf54ef3', '9696c43453f845b46d6245997249edbf', '6852b4b92ba3c61031a8eaa5f9c10e63', '10982f6a0008dfa086cd91f90df940e7', 'b859dafab5f93803cc00547adb924202', '4ee4f179150165c624a7e2767e79e448', '5c83638be8bca7204b51cd6e694b960c']"
